Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-03-03,EQ,1299,"1,343.00","1,290.00","1,294.75","1,316.00",1318.1,"1,321.19","1,343.00",385.05,2243838,"2,96,45,31,054.20",61220
2021-03-04,EQ,1306,"1,360.00","1,300.50","1,318.10","1,353.10",1350.4,"1,336.27","1,360.00",385.05,1950846,"2,60,68,48,012.40",51877
2021-03-05,EQ,1348.8,"1,371.70","1,324.00","1,350.40","1,335.50",1339.35,"1,340.10","1,371.70",385.05,2714173,"3,63,72,51,890.85",75522
2021-03-08,EQ,1339.95,"1,367.70","1,331.55","1,339.35","1,344.00",1344.25,"1,349.72","1,371.70",385.05,1400679,"1,89,05,22,950.75",43599
2021-03-09,EQ,1382,"1,408.00","1,361.05","1,344.25","1,367.05",1366.35,"1,383.06","1,408.00",385.05,5078891,"7,02,44,29,600.90",130348
2021-03-10,EQ,1378,"1,389.35","1,360.00","1,366.35","1,388.90",1385.05,"1,375.02","1,408.00",385.05,1085941,"1,49,31,89,549.35",40642
2021-03-12,EQ,1395,"1,404.95","1,375.00","1,385.05","1,375.80",1379.5,"1,390.11","1,408.00",385.05,1206112,"1,67,66,32,867.10",42988
2021-03-15,EQ,1389,"1,391.90","1,347.00","1,379.50","1,379.90",1384.1,"1,369.67","1,408.00",385.05,970925,"1,32,98,46,383.45",28835
2021-03-16,EQ,1380.1,"1,397.75","1,375.90","1,384.10","1,389.00",1384.5,"1,387.19","1,408.00",385.05,1176583,"1,63,21,40,145.00",30612
2021-03-17,EQ,1382.6,"1,394.90","1,361.30","1,384.50","1,368.90",1367.1,"1,371.59","1,408.00",385.05,1005552,"1,37,92,01,556.55",29134
2021-03-18,EQ,1392,"1,399.90","1,372.00","1,367.10","1,392.00",1387.8,"1,384.44","1,408.00",385.05,1790541,"2,47,88,96,974.00",52552
2021-03-19,EQ,1380.6,"1,415.00","1,363.00","1,387.80","1,414.00",1411.25,"1,394.86","1,415.00",385.05,2431340,"3,39,13,71,122.40",59641
2021-03-22,EQ,1419,"1,428.00","1,401.25","1,411.25","1,416.00",1413.9,"1,414.29","1,428.00",385.05,1587634,"2,24,53,72,289.50",57101
2021-03-23,EQ,1413.9,"1,422.50","1,393.85","1,413.90","1,409.35",1411.25,"1,407.54","1,428.00",385.05,1004001,"1,41,31,74,827.90",34926
2021-03-24,EQ,1409,"1,409.00","1,379.65","1,411.25","1,387.60",1387.65,"1,394.47","1,428.00",385.05,1490308,"2,07,81,82,348.35",36292
2021-03-25,EQ,1383.5,"1,400.45","1,353.60","1,387.65","1,365.20",1372.75,"1,381.54","1,428.00",385.05,2165870,"2,99,22,38,242.35",53939
