Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP,CLOSE,VWAP,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-05-03,EQ,2510,"2,595.10","2,505.60","2,536.40","2,590.50",2582.15,"2,558.64","2,873.45","1,482.95",1034774,"2,64,76,09,978.20",54041
2021-05-04,EQ,2605,"2,617.95","2,571.55","2,582.15","2,589.80",2587.15,"2,593.74","2,873.45","1,482.95",1058140,"2,74,45,45,273.05",62692
2021-05-05,EQ,2617,"2,617.00","2,546.10","2,587.15","2,571.75",2567.65,"2,575.73","2,873.45","1,482.95",1220186,"3,14,28,74,058.15",54031
2021-05-06,EQ,2579.85,"2,581.85","2,528.00","2,567.65","2,553.85",2549.05,"2,545.52","2,873.45","1,482.95",1518119,"3,86,44,07,772.85",62461
2021-05-07,EQ,2555,"2,590.00","2,541.50","2,549.05","2,554.85",2551.65,"2,562.89","2,873.45","1,482.95",1416102,"3,62,93,15,843.90",60480
2021-05-10,EQ,2589,"2,589.00","2,542.15","2,551.65","2,548.00",2556.95,"2,563.10","2,873.45","1,482.95",1526814,"3,91,33,74,582.40",65354
2021-05-11,EQ,2533,"2,562.00","2,521.30","2,556.95","2,561.70",2556.25,"2,544.64","2,873.45","1,482.95",1168363,"2,97,30,62,779.80",65711
2021-05-12,EQ,2577,"2,588.95","2,530.00","2,556.25","2,560.15",2556.2,"2,566.94","2,873.45","1,482.95",2085630,"5,35,36,91,593.25",91209
2021-05-14,EQ,2620,"2,835.25","2,601.55","2,556.20","2,772.00",2774.5,"2,767.41","2,873.45","1,482.95",10543708,"29,17,87,76,832.20",550509
2021-05-17,EQ,2782,"2,824.20","2,747.55","2,774.50","2,782.00",2782.75,"2,786.71","2,873.45","1,482.95",2134352,"5,94,78,12,068.40",112188
2021-05-18,EQ,2797,"2,845.00","2,789.00","2,782.75","2,818.95",2821.8,"2,814.36","2,873.45","1,482.95",1328605,"3,73,91,77,174.55",61472
2021-05-19,EQ,2805.15,"2,849.00","2,798.65","2,821.80","2,808.00",2815.85,"2,822.43","2,873.45","1,482.95",1219067,"3,44,07,32,093.90",58397
2021-05-20,EQ,2814,"2,845.00","2,778.50","2,815.85","2,791.05",2794.1,"2,811.83","2,873.45","1,482.95",1211975,"3,40,78,71,552.00",54928
2021-05-21,EQ,2807,"2,854.00","2,795.00","2,794.10","2,831.00",2832.5,"2,828.56","2,873.45","1,482.95",1328308,"3,75,71,94,076.15",85622
2021-05-24,EQ,2846,"2,849.00","2,808.20","2,832.50","2,820.00",2819.2,"2,820.79","2,873.45","1,577.50",813091,"2,29,35,59,297.20",46964
2021-05-25,EQ,2836.9,"2,922.65","2,822.75","2,819.20","2,918.05",2914.4,"2,898.57","2,922.65","1,577.50",2730112,"7,91,34,28,013.20",128515
2021-05-26,EQ,2939.85,"2,947.90","2,910.40","2,914.40","2,940.00",2941.6,"2,934.32","2,947.90","1,577.50",1250531,"3,66,94,59,803.60",53243
2021-05-27,EQ,2950,"2,965.00","2,902.25","2,941.60","2,965.00",2949.35,"2,939.98","2,965.00","1,577.50",2415085,"7,10,03,12,827.05",76899
2021-05-28,EQ,2958.15,"2,963.80","2,931.15","2,949.35","2,935.70",2940.7,"2,946.20","2,965.00","1,577.50",711383,"2,09,58,79,007.05",44927
2021-05-31,EQ,2938,"2,989.95","2,936.10","2,940.70","2,976.10",2977.5,"2,973.83","2,989.95","1,577.50",2093635,"6,22,61,20,142.20",84746
2021-06-01,EQ,2965,"2,982.60","2,915.10","2,977.50","2,924.90",2931,"2,952.41","2,989.95","1,577.50",1194073,"3,52,53,92,391.75",60036
2021-06-02,EQ,2918.85,"2,933.75","2,877.15","2,931.00","2,906.00",2903.7,"2,902.17","2,989.95","1,577.50",2067842,"6,00,12,22,672.15",105671
2021-06-03,EQ,2919.6,"2,942.00","2,904.05","2,903.70","2,935.80",2935.35,"2,921.21","2,989.95","1,577.50",1404434,"4,10,26,42,761.40",71480
2021-06-04,EQ,2953,"2,990.00","2,908.00","2,935.35","2,919.65",2924.9,"2,945.21","2,990.00","1,577.50",1509084,"4,44,45,72,736.80",88095
2021-06-07,EQ,2930,"2,941.00","2,903.95","2,924.90","2,928.00",2933.1,"2,920.50","2,990.00","1,577.50",802415,"2,34,34,55,468.55",51994
2021-06-08,EQ,2928,"2,944.25","2,907.50","2,933.10","2,925.00",2926.25,"2,922.05","2,990.00","1,577.50",762931,"2,22,93,21,176.35",40978
2021-06-09,EQ,2930.8,"2,965.00","2,919.60","2,926.25","2,941.30",2943.55,"2,946.10","2,990.00","1,577.50",1340352,"3,94,88,04,440.10",76383
2021-06-10,EQ,2945,"2,959.30","2,920.65","2,943.55","2,955.60",2950.6,"2,940.62","2,990.00","1,577.50",1344559,"3,95,38,34,253.05",62341
2021-06-11,EQ,2960,"2,971.60","2,938.60","2,950.60","2,955.10",2956.25,"2,953.60","2,990.00","1,577.50",878445,"2,59,45,73,062.55",53557
2021-06-14,EQ,2955.1,"2,970.00","2,916.50","2,956.25","2,953.70",2949.9,"2,942.38","2,990.00","1,587.30",746823,"2,19,74,40,473.45",36101
